# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 48min 42s
# Temperature:   115.00 K
# Species 1: N2    
# Species 2: CH4   
#
# xN2 (liq)      P (bar)      
  1.9062044E-01  5.9492700E+00
  1.9095352E-01  5.9560159E+00
  1.9128660E-01  5.9627580E+00
  1.9161967E-01  5.9694964E+00
  1.9195275E-01  5.9762309E+00
  1.9228583E-01  5.9829618E+00
  1.9261891E-01  5.9896888E+00
  1.9295198E-01  5.9964121E+00
  1.9328506E-01  6.0031317E+00
  1.9361814E-01  6.0098475E+00
  1.9395122E-01  6.0165596E+00
  1.9428429E-01  6.0232680E+00
  1.9461737E-01  6.0299726E+00
  1.9495045E-01  6.0366735E+00
  1.9528353E-01  6.0433707E+00
  1.9561661E-01  6.0500641E+00
  1.9594968E-01  6.0567539E+00
  1.9628276E-01  6.0634399E+00
  1.9661584E-01  6.0701222E+00
  1.9694892E-01  6.0768009E+00
  1.9728199E-01  6.0834758E+00
  1.9761507E-01  6.0901471E+00
  1.9794815E-01  6.0968146E+00
  1.9828123E-01  6.1034785E+00
  1.9861430E-01  6.1101387E+00
  1.9894738E-01  6.1167952E+00
  1.9928046E-01  6.1234481E+00
  1.9961354E-01  6.1300972E+00
  1.9994662E-01  6.1367428E+00
  2.0027969E-01  6.1433846E+00
  2.0061277E-01  6.1500228E+00
  2.0094585E-01  6.1566574E+00
  2.0127893E-01  6.1632883E+00
  2.0161200E-01  6.1699156E+00
  2.0194508E-01  6.1765392E+00
  2.0227816E-01  6.1831592E+00
  2.0261124E-01  6.1897756E+00
  2.0294431E-01  6.1963884E+00
  2.0327739E-01  6.2029975E+00
  2.0361047E-01  6.2096030E+00
  2.0394355E-01  6.2162049E+00
  2.0427663E-01  6.2228032E+00
  2.0460970E-01  6.2293979E+00
  2.0494278E-01  6.2359890E+00
  2.0527586E-01  6.2425765E+00
  2.0560894E-01  6.2491604E+00
  2.0594201E-01  6.2557407E+00
  2.0627509E-01  6.2623174E+00
  2.0660817E-01  6.2688906E+00
  2.0694125E-01  6.2754601E+00
  2.0727432E-01  6.2820261E+00
  2.0760740E-01  6.2885886E+00
  2.0794048E-01  6.2951475E+00
  2.0827356E-01  6.3017028E+00
  2.0860664E-01  6.3082545E+00
  2.0893971E-01  6.3148027E+00
  2.0927279E-01  6.3213474E+00
  2.0960587E-01  6.3278885E+00
  2.0993895E-01  6.3344261E+00
  2.1027202E-01  6.3409602E+00
  2.1060510E-01  6.3474907E+00
  2.1093818E-01  6.3540177E+00
  2.1127126E-01  6.3605412E+00
  2.1160433E-01  6.3670611E+00
  2.1193741E-01  6.3735776E+00
  2.1227049E-01  6.3800905E+00
  2.1260357E-01  6.3865999E+00
  2.1293665E-01  6.3931059E+00
  2.1326972E-01  6.3996083E+00
  2.1360280E-01  6.4061072E+00
  2.1393588E-01  6.4126027E+00
  2.1426896E-01  6.4190946E+00
  2.1460203E-01  6.4255831E+00
  2.1493511E-01  6.4320681E+00
  2.1526819E-01  6.4385497E+00
  2.1560127E-01  6.4450277E+00
  2.1593434E-01  6.4515023E+00
  2.1626742E-01  6.4579735E+00
  2.1660050E-01  6.4644412E+00
  2.1693358E-01  6.4709054E+00
  2.1726666E-01  6.4773662E+00
  2.1759973E-01  6.4838235E+00
  2.1793281E-01  6.4902774E+00
  2.1826589E-01  6.4967279E+00
  2.1859897E-01  6.5031749E+00
  2.1893204E-01  6.5096185E+00
  2.1926512E-01  6.5160587E+00
  2.1959820E-01  6.5224954E+00
  2.1993128E-01  6.5289288E+00
  2.2026435E-01  6.5353587E+00
  2.2059743E-01  6.5417852E+00
  2.2093051E-01  6.5482083E+00
  2.2126359E-01  6.5546280E+00
  2.2159667E-01  6.5610444E+00
  2.2192974E-01  6.5674573E+00
  2.2226282E-01  6.5738668E+00
  2.2259590E-01  6.5802730E+00
  2.2292898E-01  6.5866757E+00
  2.2326205E-01  6.5930751E+00
  2.2359513E-01  6.5994712E+00
  2.2392821E-01  6.6058638E+00
  2.2426129E-01  6.6122531E+00
  2.2459436E-01  6.6186390E+00
  2.2492744E-01  6.6250216E+00
  2.2526052E-01  6.6314008E+00
  2.2559360E-01  6.6377767E+00
  2.2592668E-01  6.6441492E+00
  2.2625975E-01  6.6505184E+00
  2.2659283E-01  6.6568843E+00
  2.2692591E-01  6.6632468E+00
  2.2725899E-01  6.6696060E+00
  2.2759206E-01  6.6759618E+00
  2.2792514E-01  6.6823144E+00
  2.2825822E-01  6.6886636E+00
  2.2859130E-01  6.6950095E+00
  2.2892437E-01  6.7013521E+00
  2.2925745E-01  6.7076914E+00
